areaCode,areaName,areaType,date,cumCasesByPublishDate,cumDeaths28DaysByPublishDate,cumPeopleVaccinatedFirstDoseByPublishDate,cumPeopleVaccinatedSecondDoseByPublishDate,cumPeopleVaccinatedThirdInjectionByPublishDate
E12000001,North East,region,2022-02-03,797323,7680,,,
E12000001,North East,region,2022-02-02,794012,7649,2076170,1938974,1517243
E12000001,North East,region,2022-02-01,790430,7599,,,
E12000001,North East,region,2022-01-31,785714,7533,,,
E12000001,North East,region,2022-01-30,737063,7532,,,
E12000001,North East,region,2022-01-29,734860,7529,,,
E12000001,North East,region,2022-01-28,732042,7512,,,
E12000001,North East,region,2022-01-27,728618,7488,,,
E12000001,North East,region,2022-01-26,724758,7470,,,
E12000001,North East,region,2022-01-25,720343,7450,,,
E12000001,North East,region,2022-01-24,716109,7400,,,
E12000001,North East,region,2022-01-23,712383,7400,,,
E12000001,North East,region,2022-01-22,708838,7399,,,
E12000001,North East,region,2022-01-21,705024,7385,,,
E12000001,North East,region,2022-01-20,700177,7363,,,
E12000001,North East,region,2022-01-19,694940,7345,,,
E12000001,North East,region,2022-01-18,689037,7333,,,
E12000001,North East,region,2022-01-17,683228,7300,,,
E12000001,North East,region,2022-01-16,678831,7298,,,
E12000001,North East,region,2022-01-15,674578,7295,,,
E12000001,North East,region,2022-01-14,669704,7276,,,
E12000001,North East,region,2022-01-13,663797,7265,,,
E12000001,North East,region,2022-01-12,656347,7256,,,
E12000001,North East,region,2022-01-11,646360,7237,,,
E12000001,North East,region,2022-01-10,638726,7219,,,
E12000001,North East,region,2022-01-09,630526,7219,,,
E12000001,North East,region,2022-01-08,620359,7217,,,
E12000001,North East,region,2022-01-07,613152,7205,,,
E12000001,North East,region,2022-01-06,602990,7193,,,
E12000001,North East,region,2022-01-05,592993,7182,,,
E12000001,North East,region,2022-01-04,583084,7168,,,
E12000001,North East,region,2022-01-03,572832,7168,,,
E12000001,North East,region,2022-01-02,565521,7167,,,
E12000001,North East,region,2022-01-01,558047,7165,,,
E12000001,North East,region,2021-12-31,547112,7157,,,
E12000001,North East,region,2021-12-30,540121,7149,,,
E12000001,North East,region,2021-12-29,533871,7139,,,
E12000001,North East,region,2021-12-28,528624,7139,,,
E12000001,North East,region,2021-12-27,524285,7137,,,
E12000001,North East,region,2021-12-26,521095,7130,,,
E12000001,North East,region,2021-12-25,517590,7130,,,
E12000001,North East,region,2021-12-24,514234,7130,,,
E12000001,North East,region,2021-12-23,511292,7120,,,
E12000001,North East,region,2021-12-22,508497,7110,,,
E12000001,North East,region,2021-12-21,506221,7105,,,
E12000001,North East,region,2021-12-20,503899,7097,,,
E12000001,North East,region,2021-12-19,502197,7096,,,
E12000001,North East,region,2021-12-18,500695,7094,,,
E12000001,North East,region,2021-12-17,499192,7087,,,
E12000001,North East,region,2021-12-16,496679,7085,,,
E12000001,North East,region,2021-12-15,494925,7078,,,
E12000001,North East,region,2021-12-14,493165,7072,,,
E12000001,North East,region,2021-12-13,491774,7060,,,
E12000001,North East,region,2021-12-12,490416,7060,,,
E12000001,North East,region,2021-12-11,489204,7059,,,
E12000001,North East,region,2021-12-10,487516,7054,,,
E12000001,North East,region,2021-12-09,485474,7047,,,
E12000001,North East,region,2021-12-08,483978,7043,,,
E12000001,North East,region,2021-12-07,482538,7037,,,
